model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
mnistfc,Linear_784_128,HE,13,3.2163559999999998,0.485988,0.46376666666666666,30
mnistfc,Linear_784_128,Plain,-,0.000852,0.0017413333333333334,0.0022573333333333334,30
mnistfc,Activation_ReLU3,HE,13,0.049872,0.04498266666666667,0.04516666666666667,30
mnistfc,Activation_ReLU3,Plain,-,8e-06,6.666666666666667e-06,0.0,30
mnistfc,Linear_128_32,HE,13,0.5412693333333333,0.17088799999999998,0.17751866666666666,30
mnistfc,Linear_128_32,Plain,-,2.9333333333333333e-05,6e-05,8.8e-05,30
mnistfc,Activation_ReLU3,HE,13,0.049872,0.04498266666666667,0.04516666666666667,30
mnistfc,Activation_ReLU3,Plain,-,8e-06,6.666666666666667e-06,0.0,30
mnistfc,Linear_32_10,HE,13,0.21718133333333334,0.10439733333333334,0.109984,30
mnistfc,Linear_32_10,Plain,-,8e-06,8e-06,2.6666666666666664e-06,30
lenet,Conv2D_1_6_5_5,HE,13,0.121842,0.076953,0.055314,30
lenet,Conv2D_1_6_5_5,Plain,-,0.000448,0.001189,0.000014,30
lenet,Activation_ReLU3,HE,13,0.05051066666666666,0.04148133333333333,0.041432,30
lenet,Activation_ReLU3,Plain,-,8e-06,4e-06,0.0,30
lenet,Conv2D_6_16_5_5,HE,13,0.000002,0.000003,0.000139,30
lenet,Conv2D_6_16_5_5,Plain,-,0.008063,0.020067,0.000039,30
lenet,Activation_ReLU3,HE,13,0.05051066666666666,0.04148133333333333,0.041432,30
lenet,Activation_ReLU3,Plain,-,8e-06,4e-06,0.0,30
lenet,Linear_256_120,HE,13,1.9618226666666667,0.417144,0.3843533333333333,30
lenet,Linear_256_120,Plain,-,4.133333333333333e-05,7.999999999999999e-05,1.3333333333333332e-06,30
lenet,Activation_ReLU3,HE,13,0.05051066666666666,0.04148133333333333,0.041432,30
lenet,Activation_ReLU3,Plain,-,8e-06,4e-06,0.0,30
lenet,Linear_120_84,HE,13,1.2119133333333334,0.2873013333333333,0.30102266666666666,30
lenet,Linear_120_84,Plain,-,6.266666666666665e-05,0.00012933333333333332,0.00019066666666666668,30
lenet,Activation_ReLU3,HE,13,0.05051066666666666,0.04148133333333333,0.041432,30
lenet,Activation_ReLU3,Plain,-,8e-06,4e-06,0.0,30
lenet,Linear_84_10,HE,13,0.23692933333333333,0.11387733333333333,0.11944266666666666,30
lenet,Linear_84_10,Plain,-,9.333333333333333e-06,1.0666666666666666e-05,4e-06,30
bcwfc,Linear_64_32,HE,13,0.49399466666666664,0.09545333333333333,0.102168,30
bcwfc,Linear_64_32,Plain,-,1.6e-05,1.4666666666666666e-05,1.3333333333333332e-06,30
bcwfc,Activation_ReLU3,HE,13,0.02627466666666667,0.022128,0.022768,30
bcwfc,Activation_ReLU3,Plain,-,4e-06,2.6666666666666664e-06,0.0,30
bcwfc,Linear_32_16,HE,13,0.16182266666666667,0.070168,0.06923066666666666,30
bcwfc,Linear_32_16,Plain,-,6.666666666666667e-06,9.333333333333333e-06,2.6666666666666664e-06,30
bcwfc,Activation_ReLU3,HE,13,0.02627466666666667,0.022128,0.022768,30
bcwfc,Activation_ReLU3,Plain,-,4e-06,2.6666666666666664e-06,0.0,30
bcwfc,Linear_16_10,HE,13,0.112952,0.06534799999999999,0.059573333333333325,30
bcwfc,Linear_16_10,Plain,-,5.333333333333333e-06,5.333333333333333e-06,1.3333333333333332e-06,30
audio1d,Conv2D_12_16_1_3,HE,13,0.000001,0.000001,0.000097,30
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000002,0.000009,30
audio1d,Activation_ReLU3,HE,13,0.025072,0.02552133333333333,0.023016,30
audio1d,Activation_ReLU3,Plain,-,2.6666666666666664e-06,2.6666666666666664e-06,0.0,30
audio1d,MaxPool1D_2,Plain,-,0.000006,0.000001,0.000001,30
audio1d,Conv2D_16_8_1_3,HE,13,0.000003,0.000003,0.000142,30
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000005,0.000021,30
audio1d,Activation_ReLU3,HE,13,0.025072,0.02552133333333333,0.023016,30
audio1d,Activation_ReLU3,Plain,-,2.6666666666666664e-06,2.6666666666666664e-06,0.0,30
audio1d,MaxPool1D_2,Plain,-,0.000013,0.000003,0.000001,30
audio1d,Flatten,HE,13,0.006400,0.004901,0.004929,30
audio1d,Flatten,Plain,-,0.000021,0.000004,0.000001,30
audio1d,Linear_2000_5,HE,13,0.16801333333333335,0.12257066666666666,0.10798799999999999,30
audio1d,Linear_2000_5,Plain,-,8e-06,3.2e-05,1.3333333333333332e-06,30
audio1d,Activation_ReLU3,HE,13,0.025072,0.02552133333333333,0.023016,30
audio1d,Activation_ReLU3,Plain,-,2.6666666666666664e-06,2.6666666666666664e-06,0.0,30
