model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
lenet,Conv2D_1_6_5_5,HE,13,2.214479,2.448741,0.006109,32
lenet,Conv2D_1_6_5_5,Plain,-,0.000452,0.001201,0.000003,32
lenet,Activation_ReLU3,HE,13,0.041260,0.039832,0.000008,32
lenet,Activation_ReLU3,Plain,-,0.000051,0.000029,0.000003,32
lenet,Conv2D_6_16_5_5,HE,13,4.002070,14.147480,0.006162,32
lenet,Conv2D_6_16_5_5,Plain,-,0.004749,0.013180,0.000007,32
lenet,Activation_ReLU3,HE,13,0.039033,0.040220,0.000001,32
lenet,Activation_ReLU3,Plain,-,0.000081,0.000086,0.000000,32
lenet,Linear_256_120,HE,13,15.133738,52.461672,0.751572,32
lenet,Linear_256_120,Plain,-,0.000067,0.000246,0.000203,32
lenet,Activation_ReLU3,HE,13,0.069414,0.045795,0.000004,32
lenet,Activation_ReLU3,Plain,-,0.000002,0.000006,0.000001,32
lenet,Linear_120_84,HE,13,9.438312,30.244342,1.102908,32
lenet,Linear_120_84,Plain,-,0.000048,0.000154,0.000136,32
lenet,Activation_ReLU3,HE,13,0.040548,0.041285,0.000001,32
lenet,Activation_ReLU3,Plain,-,0.000003,0.000028,0.000003,32
lenet,Linear_84_10,HE,13,1.087047,7.661203,0.060348,32
lenet,Linear_84_10,Plain,-,0.000005,0.000021,0.000002,32
lenet,Conv2D_1_6_5_5,HE,13,2.224896,2.596195,0.006172,32
lenet,Conv2D_1_6_5_5,Plain,-,0.000445,0.001210,0.000001,32
lenet,Activation_ReLU3,HE,13,0.039569,0.040694,0.000001,32
lenet,Activation_ReLU3,Plain,-,0.000044,0.000036,0.000000,32
lenet,Conv2D_6_16_5_5,HE,13,4.054233,25.194595,0.009348,32
lenet,Conv2D_6_16_5_5,Plain,-,0.009356,0.023840,0.000030,32
lenet,Activation_ReLU3,HE,13,0.042516,0.041334,0.000001,32
lenet,Activation_ReLU3,Plain,-,0.000094,0.000100,0.000000,32
lenet,Linear_256_120,HE,13,34.434161,74.752824,0.845042,32
lenet,Linear_256_120,Plain,-,0.000065,0.000237,0.000203,32
lenet,Activation_ReLU3,HE,13,0.039323,0.040257,0.000001,32
lenet,Activation_ReLU3,Plain,-,0.000003,0.000002,0.000001,32
lenet,Linear_120_84,HE,13,8.905865,24.252970,1.053185,32
lenet,Linear_120_84,Plain,-,0.000658,0.000086,0.000517,32
lenet,Activation_ReLU3,HE,13,0.047707,0.058962,0.000001,32
lenet,Activation_ReLU3,Plain,-,0.000005,0.000002,0.000003,32
lenet,Linear_84_10,HE,13,1.088743,6.817324,0.057748,32
lenet,Linear_84_10,Plain,-,0.000005,0.000013,0.000002,32
audio1d,Conv2D_12_16_1_3,HE,13,0.856335,3.203061,0.005500,32
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000001,0.000011,32
audio1d,Activation_ReLU3,HE,13,0.036445,0.037782,0.000001,32
audio1d,Activation_ReLU3,Plain,-,0.000053,0.000061,0.000000,32
audio1d,MaxPool1D_2,Plain,-,0.000031,0.000008,0.000001,32
audio1d,Conv2D_16_8_1_3,HE,13,0.973801,4.268500,0.005438,32
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000001,0.000004,32
audio1d,Activation_ReLU3,HE,13,0.036372,0.037687,0.000001,32
audio1d,Activation_ReLU3,Plain,-,0.000072,0.000073,0.000001,32
audio1d,MaxPool1D_2,Plain,-,0.000040,0.000011,0.000001,32
audio1d,Flatten,HE,13,0.000002,0.000001,0.000000,32
audio1d,Flatten,Plain,-,0.000031,0.000021,0.000000,32
audio1d,Linear_2000_5,HE,13,0.675646,132.481077,0.035136,32
audio1d,Linear_2000_5,Plain,-,0.000081,0.000125,0.000071,32
audio1d,Activation_ReLU3,HE,13,0.040450,0.040126,0.000001,32
audio1d,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000005,32
audio1d,Conv2D_12_16_1_3,HE,13,0.964410,3.342607,0.006019,32
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000001,0.000011,32
audio1d,Activation_ReLU3,HE,13,0.038924,0.039865,0.000001,32
audio1d,Activation_ReLU3,Plain,-,0.000120,0.000129,0.000000,32
audio1d,MaxPool1D_2,Plain,-,0.000048,0.000027,0.000000,32
audio1d,Conv2D_16_8_1_3,HE,13,1.023343,4.417675,0.005828,32
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000002,0.000006,32
audio1d,Activation_ReLU3,HE,13,0.038704,0.039609,0.000001,32
audio1d,Activation_ReLU3,Plain,-,0.000160,0.000161,0.000000,32
audio1d,MaxPool1D_2,Plain,-,0.000061,0.000034,0.000001,32
audio1d,Flatten,HE,13,0.000001,0.000000,0.000000,32
audio1d,Flatten,Plain,-,0.000077,0.000066,0.000000,32
audio1d,Linear_2000_5,HE,13,0.718305,117.770146,0.029405,32
audio1d,Linear_2000_5,Plain,-,0.000054,0.000058,0.000020,32
audio1d,Activation_ReLU3,HE,13,0.036357,0.037769,0.000001,32
audio1d,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,32
bcwfc,Linear_64_32,HE,13,2.877504,8.582886,0.182352,32
bcwfc,Linear_64_32,Plain,-,0.000008,0.000016,0.000005,32
bcwfc,Activation_ReLU3,HE,13,0.036457,0.037731,0.000001,32
bcwfc,Activation_ReLU3,Plain,-,0.000009,0.000001,0.000000,32
bcwfc,Linear_32_16,HE,13,1.300516,3.879187,0.095385,32
bcwfc,Linear_32_16,Plain,-,0.000004,0.000009,0.000002,32
bcwfc,Activation_ReLU3,HE,13,0.039909,0.039859,0.000001,32
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,32
bcwfc,Linear_16_10,HE,13,0.775152,2.157190,0.059945,32
bcwfc,Linear_16_10,Plain,-,0.000003,0.000006,0.000001,32
bcwfc,Linear_64_32,HE,13,2.951794,47.516769,0.202232,32
bcwfc,Linear_64_32,Plain,-,0.000010,0.000016,0.000005,32
bcwfc,Activation_ReLU3,HE,13,0.039504,0.040902,0.000001,32
bcwfc,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,32
bcwfc,Linear_32_16,HE,13,1.317159,3.735116,0.091643,32
bcwfc,Linear_32_16,Plain,-,0.000004,0.000007,0.000002,32
bcwfc,Activation_ReLU3,HE,13,0.036325,0.037651,0.000001,32
bcwfc,Activation_ReLU3,Plain,-,0.000002,0.000002,0.000000,32
bcwfc,Linear_16_10,HE,13,0.737065,1.980540,0.057967,32
bcwfc,Linear_16_10,Plain,-,0.000003,0.000007,0.000001,32
mnistfc,Linear_784_128,HE,13,16.034334,103.402919,0.803301,32
mnistfc,Linear_784_128,Plain,-,0.000202,0.000810,0.000675,32
mnistfc,Activation_ReLU3,HE,13,0.039138,0.040376,0.000001,32
mnistfc,Activation_ReLU3,Plain,-,0.000005,0.000004,0.000001,32
mnistfc,Linear_128_32,HE,13,3.340531,14.673303,0.189777,32
mnistfc,Linear_128_32,Plain,-,0.000013,0.000044,0.000009,32
mnistfc,Activation_ReLU3,HE,13,0.039147,0.040174,0.000001,32
mnistfc,Activation_ReLU3,Plain,-,0.000002,0.000004,0.000004,32
mnistfc,Linear_32_10,HE,13,5.217879,17.248151,0.059858,32
mnistfc,Linear_32_10,Plain,-,0.000013,0.000013,0.000001,32
mnistfc,Linear_784_128,HE,13,17.600330,107.988258,0.815165,32
mnistfc,Linear_784_128,Plain,-,0.000203,0.000791,0.000765,32
mnistfc,Activation_ReLU3,HE,13,0.039598,0.040762,0.000001,32
mnistfc,Activation_ReLU3,Plain,-,0.000003,0.000004,0.000000,32
mnistfc,Linear_128_32,HE,13,3.295016,14.337478,0.172326,32
mnistfc,Linear_128_32,Plain,-,0.000014,0.000034,0.000008,32
mnistfc,Activation_ReLU3,HE,13,0.035078,0.035828,0.000001,32
mnistfc,Activation_ReLU3,Plain,-,0.000005,0.000001,0.000000,32
mnistfc,Linear_32_10,HE,13,0.820533,3.023148,0.057239,32
mnistfc,Linear_32_10,Plain,-,0.000005,0.000011,0.000001,32
