model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
lenet,Conv2D_1_6_5_5,HE,13,2.182207,2.434556,0.006061,1
lenet,Conv2D_1_6_5_5,Plain,-,0.000476,0.001216,0.000002,1
lenet,Activation_ReLU3,HE,13,0.039876,0.039897,0.000010,1
lenet,Activation_ReLU3,Plain,-,0.000051,0.000029,0.000001,1
lenet,Conv2D_6_16_5_5,HE,13,3.994578,14.119764,0.006139,1
lenet,Conv2D_6_16_5_5,Plain,-,0.004780,0.015107,0.000009,1
lenet,Activation_ReLU3,HE,13,0.039011,0.042074,0.000001,1
lenet,Activation_ReLU3,Plain,-,0.000072,0.000071,0.000000,1
lenet,Linear_256_120,HE,13,14.535272,47.943183,0.795635,1
lenet,Linear_256_120,Plain,-,0.000088,0.000238,0.000208,1
lenet,Activation_ReLU3,HE,13,0.055957,0.040215,0.000001,1
lenet,Activation_ReLU3,Plain,-,0.000005,0.000002,0.000000,1
lenet,Linear_120_84,HE,13,8.966530,26.525412,0.590066,1
lenet,Linear_120_84,Plain,-,0.000040,0.000090,0.000074,1
lenet,Activation_ReLU3,HE,13,0.043970,0.040212,0.000001,1
lenet,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,1
lenet,Linear_84_10,HE,13,1.058948,25.051566,0.066231,1
lenet,Linear_84_10,Plain,-,0.000012,0.000023,0.000002,1
lenet,Conv2D_1_6_5_5,HE,13,2.215089,2.452819,0.006175,1
lenet,Conv2D_1_6_5_5,Plain,-,0.000452,0.001182,0.000001,1
lenet,Activation_ReLU3,HE,13,0.039117,0.040332,0.000006,1
lenet,Activation_ReLU3,Plain,-,0.000043,0.000036,0.000000,1
lenet,Conv2D_6_16_5_5,HE,13,4.095227,14.268802,0.006292,1
lenet,Conv2D_6_16_5_5,Plain,-,0.004769,0.013235,0.000008,1
lenet,Activation_ReLU3,HE,13,0.043074,0.040876,0.000006,1
lenet,Activation_ReLU3,Plain,-,0.000075,0.000080,0.000000,1
lenet,Linear_256_120,HE,13,13.750561,92.553609,0.824544,1
lenet,Linear_256_120,Plain,-,0.000070,0.000252,0.000211,1
lenet,Activation_ReLU3,HE,13,0.042231,0.043370,0.000001,1
lenet,Activation_ReLU3,Plain,-,0.000002,0.000010,0.000000,1
