model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000002,0.000000,40
bcwfc,Linear_16_10,HE,13,0.738333,1.987385,0.057965,40
bcwfc,Linear_16_10,Plain,-,0.000003,0.000005,0.000001,40
mnistfc,Linear_784_128,HE,13,16.012577,121.312428,0.801038,40
mnistfc,Linear_784_128,Plain,-,0.000422,0.001262,0.001035,40
mnistfc,Activation_ReLU3,HE,13,0.047295,0.040079,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000004,0.000002,0.000000,40
mnistfc,Linear_128_32,HE,13,3.315206,14.637090,0.189609,40
mnistfc,Linear_128_32,Plain,-,0.000012,0.000052,0.000009,40
mnistfc,Activation_ReLU3,HE,13,0.038969,0.040196,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000002,0.000009,0.000000,40
mnistfc,Linear_32_10,HE,13,0.919560,3.313447,0.059895,40
mnistfc,Linear_32_10,Plain,-,0.000003,0.000009,0.000001,40
mnistfc,Linear_784_128,HE,13,16.925588,98.763685,0.641987,40
mnistfc,Linear_784_128,Plain,-,0.000190,0.000466,0.000599,40
mnistfc,Activation_ReLU3,HE,13,0.031271,0.032780,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000005,0.000003,0.000000,40
mnistfc,Linear_128_32,HE,13,2.744991,11.863376,0.158681,40
mnistfc,Linear_128_32,Plain,-,0.000012,0.000022,0.000008,40
mnistfc,Activation_ReLU3,HE,13,0.030821,0.032136,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000001,0.000020,0.000000,40
mnistfc,Linear_32_10,HE,13,0.709427,2.654295,0.050021,40
mnistfc,Linear_32_10,Plain,-,0.000003,0.000009,0.000001,40
lenet,Conv2D_1_6_5_5,HE,14,3.877691,4.357751,0.011147,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000397,0.001155,0.000006,40
lenet,Activation_ReLU3,HE,14,0.072511,0.072453,0.000003,40
lenet,Activation_ReLU3,Plain,-,0.000039,0.000038,0.000001,40
lenet,Conv2D_6_16_5_5,HE,14,7.057064,24.958019,0.010053,40
lenet,Conv2D_6_16_5_5,Plain,-,0.004106,0.011396,0.000005,40
lenet,Activation_ReLU3,HE,14,0.065272,0.068070,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000029,0.000029,0.000000,40
lenet,Linear_256_120,HE,14,24.196645,80.278166,1.383908,40
lenet,Linear_256_120,Plain,-,0.000135,0.000252,0.000064,40
lenet,Activation_ReLU3,HE,14,0.070012,0.071961,0.000009,40
lenet,Activation_ReLU3,Plain,-,0.000001,0.000006,0.000000,40
lenet,Linear_120_84,HE,14,15.968430,42.742324,0.959710,40
lenet,Linear_120_84,Plain,-,0.000046,0.000071,0.000018,40
lenet,Activation_ReLU3,HE,14,0.069750,0.072005,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000001,0.000010,0.000000,40
lenet,Linear_84_10,HE,14,1.869648,12.456977,0.111858,40
lenet,Linear_84_10,Plain,-,0.000004,0.000012,0.000002,40
lenet,Conv2D_1_6_5_5,HE,14,3.738443,4.387993,0.011043,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000401,0.001051,0.000001,40
lenet,Activation_ReLU3,HE,14,0.070289,0.072098,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000036,0.000036,0.000000,40
lenet,Conv2D_6_16_5_5,HE,14,6.913215,24.689688,0.011015,40
lenet,Conv2D_6_16_5_5,Plain,-,0.004082,0.011349,0.000007,40
lenet,Activation_ReLU3,HE,14,0.071552,0.070925,0.000002,40
lenet,Activation_ReLU3,Plain,-,0.000030,0.000030,0.000000,40
lenet,Linear_256_120,HE,14,24.962759,78.826700,1.308498,40
lenet,Linear_256_120,Plain,-,0.000059,0.000136,0.000183,40
lenet,Activation_ReLU3,HE,14,0.065514,0.068049,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000006,0.000003,0.000000,40
lenet,Linear_120_84,HE,14,15.301049,40.692044,0.913981,40
lenet,Linear_120_84,Plain,-,0.000025,0.000076,0.000018,40
lenet,Activation_ReLU3,HE,14,0.071917,0.071797,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
lenet,Linear_84_10,HE,14,2.208707,12.439459,0.110655,40
lenet,Linear_84_10,Plain,-,0.000004,0.000010,0.000002,40
audio1d,Conv2D_12_16_1_3,HE,14,1.601737,6.084514,0.011104,40
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000001,0.000010,40
audio1d,Activation_ReLU3,HE,14,0.069753,0.071908,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000109,0.000110,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000042,0.000024,0.000001,40
audio1d,Conv2D_16_8_1_3,HE,14,1.834923,8.014353,0.011104,40
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000001,0.000003,40
audio1d,Activation_ReLU3,HE,14,0.069838,0.072076,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000146,0.000148,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000056,0.000032,0.000001,40
audio1d,Flatten,HE,14,0.000001,0.000001,0.000000,40
audio1d,Flatten,Plain,-,0.000070,0.000061,0.000000,40
audio1d,Linear_2000_5,HE,14,1.214420,190.548739,0.057509,40
audio1d,Linear_2000_5,Plain,-,0.000030,0.000087,0.000059,40
audio1d,Activation_ReLU3,HE,14,0.075672,0.101138,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,40
audio1d,Conv2D_12_16_1_3,HE,14,1.622666,5.912726,0.010003,40
audio1d,Conv2D_12_16_1_3,Plain,-,0.000004,0.000001,0.000011,40
audio1d,Activation_ReLU3,HE,14,0.065500,0.068529,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000083,0.000052,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000028,0.000009,0.000001,40
audio1d,Conv2D_16_8_1_3,HE,14,1.722539,7.717619,0.010110,40
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000001,0.000008,40
audio1d,Activation_ReLU3,HE,14,0.065516,0.067819,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000067,0.000067,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000041,0.000011,0.000001,40
audio1d,Flatten,HE,14,0.000001,0.000000,0.000000,40
audio1d,Flatten,Plain,-,0.000029,0.000020,0.000000,40
audio1d,Linear_2000_5,HE,14,1.253663,187.706325,0.057061,40
audio1d,Linear_2000_5,Plain,-,0.000027,0.000051,0.000017,40
audio1d,Activation_ReLU3,HE,14,0.065399,0.067606,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
bcwfc,Linear_64_32,HE,14,5.163036,15.150592,0.341776,40
bcwfc,Linear_64_32,Plain,-,0.000007,0.000014,0.000004,40
bcwfc,Activation_ReLU3,HE,14,0.065339,0.067828,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000008,0.000001,0.000000,40
bcwfc,Linear_32_16,HE,14,2.321327,6.894716,0.175453,40
bcwfc,Linear_32_16,Plain,-,0.000004,0.000009,0.000001,40
bcwfc,Activation_ReLU3,HE,14,0.071838,0.071885,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
bcwfc,Linear_16_10,HE,14,1.382074,3.790151,0.110613,40
bcwfc,Linear_16_10,Plain,-,0.000003,0.000007,0.000001,40
bcwfc,Linear_64_32,HE,14,5.335314,15.350999,0.338033,40
bcwfc,Linear_64_32,Plain,-,0.000007,0.000015,0.000005,40
bcwfc,Activation_ReLU3,HE,14,0.065756,0.068133,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
bcwfc,Linear_32_16,HE,14,2.376916,6.706034,0.175576,40
bcwfc,Linear_32_16,Plain,-,0.000004,0.000007,0.000001,40
bcwfc,Activation_ReLU3,HE,14,0.069972,0.071626,0.000003,40
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
bcwfc,Linear_16_10,HE,14,1.391978,3.711252,0.110842,40
bcwfc,Linear_16_10,Plain,-,0.000003,0.000006,0.000001,40
mnistfc,Linear_784_128,HE,14,30.278632,182.569397,1.373599,40
mnistfc,Linear_784_128,Plain,-,0.000181,0.000448,0.000572,40
mnistfc,Activation_ReLU3,HE,14,0.065703,0.068284,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000006,0.000002,0.000000,40
mnistfc,Linear_128_32,HE,14,5.720723,24.605061,0.339772,40
mnistfc,Linear_128_32,Plain,-,0.000011,0.000023,0.000008,40
mnistfc,Activation_ReLU3,HE,14,0.065687,0.068196,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
mnistfc,Linear_32_10,HE,14,1.461937,5.538808,0.106592,40
mnistfc,Linear_32_10,Plain,-,0.000003,0.000004,0.000001,40
mnistfc,Linear_784_128,HE,14,29.371016,181.191543,1.347806,40
mnistfc,Linear_784_128,Plain,-,0.000199,0.000463,0.000577,40
mnistfc,Activation_ReLU3,HE,14,0.065592,0.068128,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000004,0.000001,0.000000,40
mnistfc,Linear_128_32,HE,14,5.767603,24.589263,0.338489,40
mnistfc,Linear_128_32,Plain,-,0.000012,0.000021,0.000008,40
mnistfc,Activation_ReLU3,HE,14,0.065691,0.068066,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
