model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
mnistfc,Linear_784_128,HE,13,10.836851,1.455381,1.572016,8
mnistfc,Linear_784_128,Plain,-,0.000398,0.001359,0.000990,8
mnistfc,Activation_ReLU3,HE,13,0.144848,0.138800,0.151613,8
mnistfc,Activation_ReLU3,Plain,-,0.000009,0.000006,0.000001,8
mnistfc,Linear_128_32,HE,13,1.814176,0.494581,0.526077,8
mnistfc,Linear_128_32,Plain,-,0.000023,0.000043,0.000044,8
mnistfc,Activation_ReLU3,HE,13,0.133126,0.124020,0.148906,8
mnistfc,Activation_ReLU3,Plain,-,0.000011,0.000003,0.000000,8
mnistfc,Linear_32_10,HE,13,0.712205,0.361812,0.323176,8
mnistfc,Linear_32_10,Plain,-,0.000009,0.000010,0.000002,8
lenet,Conv2D_1_6_5_5,HE,13,0.638623,0.356639,0.353524,8
lenet,Conv2D_1_6_5_5,Plain,-,0.000862,0.002082,0.000025,8
lenet,Activation_ReLU3,HE,13,0.165302,0.143834,0.154424,8
lenet,Activation_ReLU3,Plain,-,0.000031,0.000034,0.000000,8
lenet,Conv2D_6_16_5_5,HE,13,0.652733,3.157716,0.001176,8
lenet,Conv2D_6_16_5_5,Plain,-,0.009210,0.037889,0.000012,8
lenet,Activation_ReLU3,HE,13,0.179305,0.139659,0.148801,8
lenet,Activation_ReLU3,Plain,-,0.000056,0.000053,0.000001,8
lenet,Linear_256_120,HE,13,6.594519,1.412368,1.404372,8
lenet,Linear_256_120,Plain,-,0.000055,0.000060,0.000001,8
lenet,Activation_ReLU3,HE,13,0.163357,0.140065,0.146333,8
lenet,Activation_ReLU3,Plain,-,0.000006,0.000016,0.000000,8
lenet,Linear_120_84,HE,13,4.791774,1.120303,1.027698,8
lenet,Linear_120_84,Plain,-,0.000048,0.000094,0.000118,8
lenet,Activation_ReLU3,HE,13,0.166722,0.151885,0.152723,8
lenet,Activation_ReLU3,Plain,-,0.000008,0.000004,0.000000,8
lenet,Linear_84_10,HE,13,0.779548,0.375947,0.402885,8
lenet,Linear_84_10,Plain,-,0.000010,0.000013,0.000023,8
bcwfc,Linear_64_32,HE,13,1.786904,0.551445,0.600006,8
bcwfc,Linear_64_32,Plain,-,0.000013,0.000026,0.000002,8
bcwfc,Activation_ReLU3,HE,13,0.154479,0.155576,0.137715,8
bcwfc,Activation_ReLU3,Plain,-,0.000010,0.000003,0.000001,8
bcwfc,Linear_32_16,HE,13,0.937887,0.406849,0.445714,8
bcwfc,Linear_32_16,Plain,-,0.000010,0.000016,0.000003,8
bcwfc,Activation_ReLU3,HE,13,0.148220,0.149136,0.120701,8
bcwfc,Activation_ReLU3,Plain,-,0.000005,0.000003,0.000000,8
bcwfc,Linear_16_10,HE,13,0.657397,0.341088,0.314665,8
bcwfc,Linear_16_10,Plain,-,0.000006,0.000009,0.000002,8
audio1d,Conv2D_12_16_1_3,HE,13,0.139979,0.718416,0.001030,8
audio1d,Conv2D_12_16_1_3,Plain,-,0.000003,0.000003,0.000009,8
audio1d,Activation_ReLU3,HE,13,0.166567,0.130289,0.133282,8
audio1d,Activation_ReLU3,Plain,-,0.000013,0.000011,0.000000,8
audio1d,MaxPool1D_2,Plain,-,0.000009,0.000002,0.000001,8
audio1d,Conv2D_16_8_1_3,HE,13,0.090986,0.466970,0.000669,8
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000003,0.000009,8
audio1d,Activation_ReLU3,HE,13,0.161098,0.136328,0.120760,8
audio1d,Activation_ReLU3,Plain,-,0.000010,0.000007,0.000000,8
audio1d,MaxPool1D_2,Plain,-,0.000011,0.000001,0.000001,8
audio1d,Flatten,HE,13,0.035625,0.034736,0.036486,8
audio1d,Flatten,Plain,-,0.000025,0.000016,0.000001,8
audio1d,Linear_2000_5,HE,13,0.931410,0.670524,0.679250,8
audio1d,Linear_2000_5,Plain,-,0.000008,0.000039,0.000002,8
audio1d,Activation_ReLU3,HE,13,0.137798,0.135240,0.142325,8
audio1d,Activation_ReLU3,Plain,-,0.000004,0.000003,0.000000,8
