model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
mnistfc,Linear_784_128,HE,13,5.614647,0.607176,0.725086,16
mnistfc,Linear_784_128,Plain,-,0.000441,0.001349,0.000996,16
mnistfc,Activation_ReLU3,HE,13,0.090176,0.074235,0.067821,16
mnistfc,Activation_ReLU3,Plain,-,0.000013,0.000007,0.000001,16
mnistfc,Linear_128_32,HE,13,0.972801,0.287446,0.297100,16
mnistfc,Linear_128_32,Plain,-,0.000024,0.000046,0.000046,16
mnistfc,Activation_ReLU3,HE,13,0.082266,0.067334,0.070862,16
mnistfc,Activation_ReLU3,Plain,-,0.000011,0.000003,0.000000,16
mnistfc,Linear_32_10,HE,13,0.262974,0.185568,0.189206,16
mnistfc,Linear_32_10,Plain,-,0.000008,0.000010,0.000002,16
lenet,Conv2D_1_6_5_5,HE,13,0.305494,0.181140,0.158940,16
lenet,Conv2D_1_6_5_5,Plain,-,0.000573,0.001674,0.000006,16
lenet,Activation_ReLU3,HE,13,0.094188,0.085074,0.080403,16
lenet,Activation_ReLU3,Plain,-,0.000033,0.000033,0.000001,16
lenet,Conv2D_6_16_5_5,HE,13,0.312244,1.603831,0.000529,16
lenet,Conv2D_6_16_5_5,Plain,-,0.009305,0.036257,0.000039,16
lenet,Activation_ReLU3,HE,13,0.081545,0.070680,0.066348,16
lenet,Activation_ReLU3,Plain,-,0.000062,0.000053,0.000001,16
lenet,Linear_256_120,HE,13,3.661760,0.778485,0.732159,16
lenet,Linear_256_120,Plain,-,0.000052,0.000062,0.000002,16
lenet,Activation_ReLU3,HE,13,0.087700,0.080666,0.081315,16
lenet,Activation_ReLU3,Plain,-,0.000009,0.000004,0.000000,16
lenet,Linear_120_84,HE,13,2.527308,0.602864,0.569559,16
lenet,Linear_120_84,Plain,-,0.000050,0.000093,0.000118,16
lenet,Activation_ReLU3,HE,13,0.077177,0.071226,0.078691,16
lenet,Activation_ReLU3,Plain,-,0.000006,0.000003,0.000000,16
lenet,Linear_84_10,HE,13,0.455311,0.192012,0.218462,16
lenet,Linear_84_10,Plain,-,0.000012,0.000014,0.000015,16
bcwfc,Linear_64_32,HE,13,0.956860,0.306316,0.305805,16
bcwfc,Linear_64_32,Plain,-,0.000023,0.000037,0.000002,16
bcwfc,Activation_ReLU3,HE,13,0.090722,0.073841,0.077243,16
bcwfc,Activation_ReLU3,Plain,-,0.000007,0.000004,0.000000,16
bcwfc,Linear_32_16,HE,13,0.499965,0.209696,0.226534,16
bcwfc,Linear_32_16,Plain,-,0.000010,0.000010,0.000003,16
bcwfc,Activation_ReLU3,HE,13,0.079236,0.074790,0.072966,16
bcwfc,Activation_ReLU3,Plain,-,0.000005,0.000003,0.000000,16
bcwfc,Linear_16_10,HE,13,0.327396,0.179353,0.178468,16
bcwfc,Linear_16_10,Plain,-,0.000008,0.000007,0.000002,16
audio1d,Conv2D_12_16_1_3,HE,13,0.066961,0.364890,0.000463,16
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000003,0.000020,16
audio1d,Activation_ReLU3,HE,13,0.079049,0.072979,0.073362,16
audio1d,Activation_ReLU3,Plain,-,0.000014,0.000011,0.000000,16
audio1d,MaxPool1D_2,Plain,-,0.000010,0.000006,0.000001,16
audio1d,Conv2D_16_8_1_3,HE,13,0.043525,0.237178,0.000301,16
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000003,0.000009,16
audio1d,Activation_ReLU3,HE,13,0.077037,0.074028,0.070324,16
audio1d,Activation_ReLU3,Plain,-,0.000011,0.000007,0.000000,16
audio1d,MaxPool1D_2,Plain,-,0.000037,0.000007,0.000001,16
audio1d,Flatten,HE,13,0.017595,0.017569,0.019088,16
audio1d,Flatten,Plain,-,0.000010,0.000009,0.000001,16
audio1d,Linear_2000_5,HE,13,0.528975,0.363266,0.357675,16
audio1d,Linear_2000_5,Plain,-,0.000016,0.000088,0.000002,16
audio1d,Activation_ReLU3,HE,13,0.084070,0.071180,0.068603,16
audio1d,Activation_ReLU3,Plain,-,0.000011,0.000003,0.000000,16
