model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
mnistfc,Linear_784_128,HE,13,1.510227,0.331724,0.355676,32
mnistfc,Linear_784_128,Plain,-,0.000209,0.000520,0.000653,32
mnistfc,Activation_ReLU3,HE,13,0.026888,0.024565,0.027228,32
mnistfc,Activation_ReLU3,Plain,-,0.000011,0.000004,0.000001,32
mnistfc,Linear_128_32,HE,13,0.496869,0.150502,0.163717,32
mnistfc,Linear_128_32,Plain,-,0.000025,0.000047,0.000056,32
mnistfc,Activation_ReLU3,HE,13,0.040545,0.034994,0.036191,32
mnistfc,Activation_ReLU3,Plain,-,0.000005,0.000002,0.000000,32
mnistfc,Linear_32_10,HE,13,0.173867,0.089126,0.107090,32
mnistfc,Linear_32_10,Plain,-,0.000007,0.000007,0.000002,32
lenet,Conv2D_1_6_5_5,HE,13,0.137354,0.083763,0.087951,32
lenet,Conv2D_1_6_5_5,Plain,-,0.000882,0.002147,0.000003,32
lenet,Activation_ReLU3,HE,13,0.037935,0.031584,0.035701,32
lenet,Activation_ReLU3,Plain,-,0.000046,0.000025,0.000000,32
lenet,Conv2D_6_16_5_5,HE,13,0.140389,0.741646,0.000293,32
lenet,Conv2D_6_16_5_5,Plain,-,0.009329,0.023400,0.000042,32
lenet,Activation_ReLU3,HE,13,0.039808,0.035200,0.035197,32
lenet,Activation_ReLU3,Plain,-,0.000054,0.000049,0.000000,32
lenet,Linear_256_120,HE,13,1.614703,0.304518,0.334812,32
lenet,Linear_256_120,Plain,-,0.000042,0.000050,0.000001,32
lenet,Activation_ReLU3,HE,13,0.037860,0.036701,0.037637,32
lenet,Activation_ReLU3,Plain,-,0.000008,0.000003,0.000000,32
lenet,Linear_120_84,HE,13,1.085428,0.282585,0.261222,32
lenet,Linear_120_84,Plain,-,0.000050,0.000169,0.000114,32
lenet,Activation_ReLU3,HE,13,0.038021,0.034918,0.037576,32
lenet,Activation_ReLU3,Plain,-,0.000007,0.000003,0.000000,32
lenet,Linear_84_10,HE,13,0.193801,0.111619,0.097114,32
lenet,Linear_84_10,Plain,-,0.000010,0.000013,0.000003,32
bcwfc,Linear_64_32,HE,13,0.448722,0.141714,0.141018,32
bcwfc,Linear_64_32,Plain,-,0.000017,0.000027,0.000001,32
bcwfc,Activation_ReLU3,HE,13,0.042655,0.036940,0.036765,32
bcwfc,Activation_ReLU3,Plain,-,0.000006,0.000003,0.000001,32
bcwfc,Linear_32_16,HE,13,0.250327,0.117664,0.117914,32
bcwfc,Linear_32_16,Plain,-,0.000009,0.000010,0.000003,32
bcwfc,Activation_ReLU3,HE,13,0.041552,0.038953,0.040299,32
bcwfc,Activation_ReLU3,Plain,-,0.000007,0.000002,0.000000,32
bcwfc,Linear_16_10,HE,13,0.175787,0.093813,0.096173,32
bcwfc,Linear_16_10,Plain,-,0.000007,0.000008,0.000001,32
audio1d,Conv2D_12_16_1_3,HE,13,0.030106,0.168733,0.000256,32
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000002,0.000007,32
audio1d,Activation_ReLU3,HE,13,0.035614,0.035165,0.035773,32
audio1d,Activation_ReLU3,Plain,-,0.000029,0.000019,0.000000,32
audio1d,MaxPool1D_2,Plain,-,0.000009,0.000002,0.000001,32
audio1d,Conv2D_16_8_1_3,HE,13,0.019569,0.109676,0.000167,32
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000002,0.000011,32
audio1d,Activation_ReLU3,HE,13,0.038926,0.032074,0.035190,32
audio1d,Activation_ReLU3,Plain,-,0.000031,0.000014,0.000000,32
audio1d,MaxPool1D_2,Plain,-,0.000030,0.000003,0.000001,32
audio1d,Flatten,HE,13,0.008574,0.008410,0.009844,32
audio1d,Flatten,Plain,-,0.000032,0.000004,0.000001,32
audio1d,Linear_2000_5,HE,13,0.247754,0.171079,0.179248,32
audio1d,Linear_2000_5,Plain,-,0.000007,0.000086,0.000002,32
audio1d,Activation_ReLU3,HE,13,0.040367,0.036788,0.040064,32
audio1d,Activation_ReLU3,Plain,-,0.000004,0.000003,0.000000,32
