model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
mnistfc,Linear_784_128,HE,13,2.412267,0.364491,0.347825,40
mnistfc,Linear_784_128,Plain,-,0.000639,0.001306,0.001693,40
mnistfc,Activation_ReLU3,HE,13,0.040187,0.033287,0.033205,40
mnistfc,Activation_ReLU3,Plain,-,0.000012,0.000015,0.000001,40
mnistfc,Linear_128_32,HE,13,0.405952,0.128166,0.133139,40
mnistfc,Linear_128_32,Plain,-,0.000022,0.000045,0.000066,40
mnistfc,Activation_ReLU3,HE,13,0.037404,0.033737,0.033875,40
mnistfc,Activation_ReLU3,Plain,-,0.000006,0.000005,0.000000,40
mnistfc,Linear_32_10,HE,13,0.162886,0.078298,0.082488,40
mnistfc,Linear_32_10,Plain,-,0.000006,0.000006,0.000002,40
lenet,Conv2D_1_6_5_5,HE,13,0.124836,0.076582,0.078021,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000443,0.001200,0.000005,40
lenet,Activation_ReLU3,HE,13,0.036909,0.034486,0.029705,40
lenet,Activation_ReLU3,Plain,-,0.000028,0.000032,0.000000,40
lenet,Conv2D_6_16_5_5,HE,13,0.127594,0.678064,0.000260,40
lenet,Conv2D_6_16_5_5,Plain,-,0.009153,0.023052,0.000036,40
lenet,Activation_ReLU3,HE,13,0.033668,0.028998,0.031350,40
lenet,Activation_ReLU3,Plain,-,0.000049,0.000049,0.000000,40
lenet,Linear_256_120,HE,13,1.471367,0.312858,0.288265,40
lenet,Linear_256_120,Plain,-,0.000031,0.000060,0.000001,40
lenet,Activation_ReLU3,HE,13,0.036680,0.028898,0.035293,40
lenet,Activation_ReLU3,Plain,-,0.000008,0.000003,0.000000,40
lenet,Linear_120_84,HE,13,0.908935,0.215476,0.225767,40
lenet,Linear_120_84,Plain,-,0.000047,0.000097,0.000143,40
lenet,Activation_ReLU3,HE,13,0.037883,0.031111,0.031074,40
lenet,Activation_ReLU3,Plain,-,0.000006,0.000003,0.000000,40
lenet,Linear_84_10,HE,13,0.177697,0.085408,0.089582,40
lenet,Linear_84_10,Plain,-,0.000007,0.000008,0.000003,40
bcwfc,Linear_64_32,HE,13,0.370496,0.071590,0.076626,40
bcwfc,Linear_64_32,Plain,-,0.000012,0.000011,0.000001,40
bcwfc,Activation_ReLU3,HE,13,0.020816,0.016663,0.017078,40
bcwfc,Activation_ReLU3,Plain,-,0.000004,0.000002,0.000000,40
bcwfc,Linear_32_16,HE,13,0.121367,0.052626,0.051923,40
bcwfc,Linear_32_16,Plain,-,0.000005,0.000007,0.000002,40
bcwfc,Activation_ReLU3,HE,13,0.019706,0.016596,0.017076,40
bcwfc,Activation_ReLU3,Plain,-,0.000003,0.000002,0.000000,40
bcwfc,Linear_16_10,HE,13,0.084714,0.049011,0.044680,40
bcwfc,Linear_16_10,Plain,-,0.000004,0.000004,0.000001,40
audio1d,Conv2D_12_16_1_3,HE,13,0.027363,0.154267,0.000227,40
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000002,0.000073,40
audio1d,Activation_ReLU3,HE,13,0.018817,0.016804,0.017355,40
audio1d,Activation_ReLU3,Plain,-,0.000011,0.000008,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000007,0.000001,0.000001,40
audio1d,Conv2D_16_8_1_3,HE,13,0.017786,0.100274,0.000148,40
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000001,0.000019,40
audio1d,Activation_ReLU3,HE,13,0.019309,0.018028,0.017838,40
audio1d,Activation_ReLU3,Plain,-,0.000006,0.000005,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000011,0.000001,0.000000,40
audio1d,Flatten,HE,13,0.004163,0.004481,0.004396,40
audio1d,Flatten,Plain,-,0.000013,0.000002,0.000001,40
audio1d,Linear_2000_5,HE,13,0.126010,0.091928,0.080991,40
audio1d,Linear_2000_5,Plain,-,0.000006,0.000024,0.000001,40
audio1d,Activation_ReLU3,HE,13,0.018804,0.019141,0.017262,40
audio1d,Activation_ReLU3,Plain,-,0.000002,0.000002,0.000000,40
