model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
lenet,Conv2D_1_6_5_5,HE,15,8.684226,9.630317,0.030157,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000443,0.001153,0.000001,40
lenet,Activation_ReLU3,HE,15,0.158777,0.153446,0.000009,40
lenet,Activation_ReLU3,Plain,-,0.000039,0.000035,0.000002,40
lenet,Conv2D_6_16_5_5,HE,15,15.988032,55.580447,0.025024,40
lenet,Conv2D_6_16_5_5,Plain,-,0.004266,0.012543,0.000005,40
lenet,Activation_ReLU3,HE,15,0.163452,0.163654,0.000004,40
lenet,Activation_ReLU3,Plain,-,0.000072,0.000051,0.000002,40
lenet,Linear_256_120,HE,15,54.616925,177.706959,3.122659,40
lenet,Linear_256_120,Plain,-,0.000147,0.000257,0.000058,40
lenet,Activation_ReLU3,HE,15,0.164718,0.166806,0.000007,40
lenet,Activation_ReLU3,Plain,-,0.000001,0.000008,0.000002,40
lenet,Linear_120_84,HE,15,34.652301,94.493810,2.005386,40
lenet,Linear_120_84,Plain,-,0.000045,0.000074,0.000018,40
lenet,Activation_ReLU3,HE,15,0.148724,0.151963,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000001,0.000018,0.000001,40
lenet,Linear_84_10,HE,15,4.015140,27.438072,0.236366,40
lenet,Linear_84_10,Plain,-,0.000005,0.000012,0.000002,40
lenet,Conv2D_1_6_5_5,HE,15,8.231200,9.806535,0.024799,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000420,0.001099,0.000001,40
lenet,Activation_ReLU3,HE,15,0.157714,0.164520,0.000005,40
lenet,Activation_ReLU3,Plain,-,0.000037,0.000036,0.000002,40
lenet,Conv2D_6_16_5_5,HE,15,16.183180,55.429848,0.024796,40
lenet,Conv2D_6_16_5_5,Plain,-,0.004734,0.012164,0.000005,40
lenet,Activation_ReLU3,HE,15,0.157954,0.164507,0.000002,40
lenet,Activation_ReLU3,Plain,-,0.000070,0.000070,0.000001,40
lenet,Linear_256_120,HE,15,54.551948,166.345360,3.064894,40
lenet,Linear_256_120,Plain,-,0.000124,0.000243,0.000053,40
lenet,Activation_ReLU3,HE,15,0.155326,0.158361,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000003,0.000004,0.000001,40
lenet,Linear_120_84,HE,15,34.360364,86.586822,1.904884,40
lenet,Linear_120_84,Plain,-,0.000026,0.000048,0.000018,40
lenet,Activation_ReLU3,HE,15,0.140898,0.144609,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,40
lenet,Linear_84_10,HE,15,3.809800,26.222570,0.248069,40
lenet,Linear_84_10,Plain,-,0.000019,0.000022,0.000002,40
audio1d,Conv2D_12_16_1_3,HE,15,3.526864,13.540692,0.023635,40
audio1d,Conv2D_12_16_1_3,Plain,-,0.000006,0.000001,0.000009,40
audio1d,Activation_ReLU3,HE,15,0.152786,0.156590,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000055,0.000057,0.000005,40
audio1d,MaxPool1D_2,Plain,-,0.000030,0.000009,0.000001,40
audio1d,Conv2D_16_8_1_3,HE,15,4.290877,17.687663,0.025685,40
