model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
resnet,Conv2D_3_64_7_7,HE,15,8.299892,71.770048,0.024518,40
resnet,Conv2D_3_64_7_7,Plain,-,2.027802,5.372631,0.000025,40
resnet,Activation_ReLU3,HE,15,0.155490,0.181471,0.000003,40
resnet,Activation_ReLU3,Plain,-,0.015871,0.015099,0.000003,40
resnet,Conv2D_64_64_3_3,HE,15,90.803244,607.908748,0.035735,40
resnet,Conv2D_64_64_3_3,Plain,-,8.754877,23.862119,0.000074,40
resnet,Activation_ReLU3,HE,15,0.146790,0.148859,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014796,0.014037,0.000002,40
resnet,Conv2D_64_64_3_3,HE,15,91.368098,608.856852,0.032444,40
resnet,Conv2D_64_64_3_3,Plain,-,8.783159,22.708463,0.000079,40
resnet,Activation_ReLU3,HE,15,0.146347,0.151328,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014899,0.020377,0.000002,40
resnet,Conv2D_3_64_7_7,HE,15,8.323944,68.838142,0.023031,40
resnet,Conv2D_3_64_7_7,Plain,-,2.062844,5.361442,0.000034,40
resnet,Activation_ReLU3,HE,15,0.143049,0.146787,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014615,0.013897,0.000001,40
resnet,Conv2D_64_64_3_3,HE,15,91.421038,606.617906,0.035329,40
resnet,Conv2D_64_64_3_3,Plain,-,8.895983,23.179496,0.000078,40
resnet,Activation_ReLU3,HE,15,0.145615,0.150153,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014735,0.013703,0.000001,40
resnet,Conv2D_64_64_3_3,HE,15,91.203627,608.446902,0.032171,40
resnet,Conv2D_64_64_3_3,Plain,-,8.945662,22.730854,0.000076,40
resnet,Activation_ReLU3,HE,15,0.147132,0.152910,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014366,0.013287,0.000001,40
