model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
lenet,Conv2D_1_6_5_5,HE,13,2.237596,2.477056,0.006095,16
lenet,Conv2D_1_6_5_5,Plain,-,0.000459,0.001212,0.000005,16
lenet,Activation_ReLU3,HE,13,0.040418,0.040098,0.000010,16
lenet,Activation_ReLU3,Plain,-,0.000050,0.000030,0.000001,16
lenet,Conv2D_6_16_5_5,HE,13,4.000500,14.499778,0.006139,16
lenet,Conv2D_6_16_5_5,Plain,-,0.004773,0.013150,0.000008,16
lenet,Activation_ReLU3,HE,13,0.038974,0.041490,0.000001,16
lenet,Activation_ReLU3,Plain,-,0.000092,0.000073,0.000000,16
lenet,Linear_256_120,HE,13,15.330570,52.122978,0.765231,16
lenet,Linear_256_120,Plain,-,0.000130,0.000381,0.000301,16
lenet,Activation_ReLU3,HE,13,0.040596,0.040576,0.000001,16
lenet,Activation_ReLU3,Plain,-,0.000012,0.000001,0.000000,16
lenet,Linear_120_84,HE,13,9.677795,48.250685,0.565654,16
lenet,Linear_120_84,Plain,-,0.000026,0.000086,0.000071,16
lenet,Activation_ReLU3,HE,13,0.039365,0.040484,0.000001,16
lenet,Activation_ReLU3,Plain,-,0.000005,0.000008,0.000000,16
lenet,Linear_84_10,HE,13,1.212210,7.921052,0.060192,16
lenet,Linear_84_10,Plain,-,0.000005,0.000016,0.000003,16
lenet,Conv2D_1_6_5_5,HE,13,2.145765,2.453464,0.006081,16
lenet,Conv2D_1_6_5_5,Plain,-,0.000450,0.001188,0.000001,16
lenet,Activation_ReLU3,HE,13,0.039226,0.040479,0.000001,16
lenet,Activation_ReLU3,Plain,-,0.000049,0.000037,0.000000,16
lenet,Conv2D_6_16_5_5,HE,13,4.053372,25.444990,0.008537,16
lenet,Conv2D_6_16_5_5,Plain,-,0.007397,0.016980,0.000008,16
lenet,Activation_ReLU3,HE,13,0.041350,0.041472,0.000001,16
lenet,Activation_ReLU3,Plain,-,0.000077,0.000085,0.000000,16
lenet,Linear_256_120,HE,13,33.671774,74.178828,0.799214,16
lenet,Linear_256_120,Plain,-,0.000081,0.000239,0.000200,16
lenet,Activation_ReLU3,HE,13,0.052734,0.065943,0.000001,16
lenet,Activation_ReLU3,Plain,-,0.000002,0.000003,0.000000,16
lenet,Linear_120_84,HE,13,8.561230,22.870020,0.503918,16
lenet,Linear_120_84,Plain,-,0.000023,0.000081,0.000071,16
lenet,Activation_ReLU3,HE,13,0.040838,0.040740,0.000001,16
lenet,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,16
lenet,Linear_84_10,HE,13,3.336782,16.427994,0.060222,16
lenet,Linear_84_10,Plain,-,0.000005,0.000013,0.000002,16
audio1d,Conv2D_12_16_1_3,HE,13,0.904425,3.373867,0.006058,16
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000001,0.000009,16
audio1d,Activation_ReLU3,HE,13,0.038940,0.039999,0.000001,16
audio1d,Activation_ReLU3,Plain,-,0.000119,0.000123,0.000000,16
audio1d,MaxPool1D_2,Plain,-,0.000047,0.000025,0.000001,16
audio1d,Conv2D_16_8_1_3,HE,13,1.031469,4.471352,0.006093,16
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000001,0.000004,16
