model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
resnet,Conv2D_3_64_7_7,HE,16,20.118297,160.936543,0.050169,40
resnet,Conv2D_3_64_7_7,Plain,-,2.032153,5.411651,0.000033,40
resnet,Activation_ReLU3,HE,16,0.334564,0.338770,0.000003,40
resnet,Activation_ReLU3,Plain,-,0.030622,0.029463,0.000003,40
resnet,Conv2D_64_64_3_3,HE,16,129.420609,833.311452,0.061660,40
resnet,Conv2D_64_64_3_3,Plain,-,8.770558,22.282958,0.000075,40
resnet,Activation_ReLU3,HE,16,0.322540,0.323220,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.030246,0.028936,0.000002,40
resnet,Conv2D_64_64_3_3,HE,16,123.335395,841.101706,0.058126,40
resnet,Conv2D_64_64_3_3,Plain,-,8.614993,22.050700,0.000085,40
resnet,Activation_ReLU3,HE,16,0.313471,0.318612,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.028348,0.027469,0.000001,40
resnet,Conv2D_3_64_7_7,HE,16,17.163289,147.492341,0.046223,40
resnet,Conv2D_3_64_7_7,Plain,-,2.021464,5.353760,0.000023,40
resnet,Activation_ReLU3,HE,16,0.308107,0.308246,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014878,0.013670,0.000001,40
resnet,Conv2D_64_64_3_3,HE,16,125.743432,850.550069,0.064152,40
resnet,Conv2D_64_64_3_3,Plain,-,10.886936,23.565088,0.000094,40
resnet,Activation_ReLU3,HE,16,0.307051,0.310718,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014088,0.013409,0.000001,40
resnet,Conv2D_64_64_3_3,HE,16,126.845721,855.925418,0.065235,40
resnet,Conv2D_64_64_3_3,Plain,-,8.673042,22.557149,0.000081,40
resnet,Activation_ReLU3,HE,16,0.333535,0.338086,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.029447,0.028777,0.000001,40
