model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
lenet,Conv2D_1_6_5_5,HE,16,16.067952,21.114378,0.051039,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000396,0.001063,0.000001,40
lenet,Activation_ReLU3,HE,16,0.329679,0.323938,0.000016,40
lenet,Activation_ReLU3,Plain,-,0.000047,0.000035,0.000001,40
lenet,Conv2D_6_16_5_5,HE,16,30.896013,116.632537,0.054931,40
lenet,Conv2D_6_16_5_5,Plain,-,0.004411,0.012098,0.000006,40
lenet,Activation_ReLU3,HE,16,0.335095,0.342593,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000063,0.000064,0.000000,40
lenet,Linear_256_120,HE,16,108.992001,345.856333,5.969240,40
lenet,Linear_256_120,Plain,-,0.000061,0.000140,0.000188,40
lenet,Activation_ReLU3,HE,16,0.292679,0.303031,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000006,0.000003,0.000000,40
lenet,Linear_120_84,HE,16,68.619807,182.443249,4.209156,40
lenet,Linear_120_84,Plain,-,0.000096,0.000081,0.000022,40
lenet,Activation_ReLU3,HE,16,0.317361,0.316177,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000002,0.000013,0.000000,40
lenet,Linear_84_10,HE,16,8.184993,51.889027,0.485120,40
lenet,Linear_84_10,Plain,-,0.000005,0.000031,0.000002,40
lenet,Conv2D_1_6_5_5,HE,16,14.109497,18.712157,0.045243,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000387,0.001037,0.000001,40
lenet,Activation_ReLU3,HE,16,0.294865,0.309317,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000034,0.000017,0.000000,40
lenet,Conv2D_6_16_5_5,HE,16,28.962767,114.944027,0.046028,40
lenet,Conv2D_6_16_5_5,Plain,-,0.004165,0.011634,0.000006,40
lenet,Activation_ReLU3,HE,16,0.305915,0.303570,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000042,0.000031,0.000000,40
lenet,Linear_256_120,HE,16,107.035994,342.556494,6.156057,40
lenet,Linear_256_120,Plain,-,0.000066,0.000246,0.000066,40
lenet,Activation_ReLU3,HE,16,0.333954,0.331022,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000011,0.000001,0.000000,40
lenet,Linear_120_84,HE,16,71.345739,182.391235,4.127148,40
lenet,Linear_120_84,Plain,-,0.000027,0.000049,0.000022,40
lenet,Activation_ReLU3,HE,16,0.315202,0.318586,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000017,0.000002,0.000000,40
lenet,Linear_84_10,HE,16,8.063592,52.379536,0.490347,40
lenet,Linear_84_10,Plain,-,0.000012,0.000011,0.000002,40
audio1d,Conv2D_12_16_1_3,HE,16,6.265014,27.068339,0.048578,40
audio1d,Conv2D_12_16_1_3,Plain,-,0.000003,0.000002,0.000011,40
audio1d,Activation_ReLU3,HE,16,0.294123,0.312055,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000051,0.000063,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000029,0.000010,0.000001,40
audio1d,Conv2D_16_8_1_3,HE,16,7.479116,35.170958,0.045066,40
audio1d,Conv2D_16_8_1_3,Plain,-,0.000003,0.000002,0.000006,40
audio1d,Activation_ReLU3,HE,16,0.293130,0.305551,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000066,0.000084,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000035,0.000010,0.000000,40
audio1d,Flatten,HE,16,0.000002,0.000001,0.000000,40
audio1d,Flatten,Plain,-,0.000029,0.000020,0.000000,40
audio1d,Linear_2000_5,HE,16,5.547620,850.102716,0.271120,40
audio1d,Linear_2000_5,Plain,-,0.000027,0.000056,0.000077,40
audio1d,Activation_ReLU3,HE,16,0.312918,0.311865,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,40
audio1d,Conv2D_12_16_1_3,HE,16,6.304528,27.158075,0.048267,40
audio1d,Conv2D_12_16_1_3,Plain,-,0.000003,0.000002,0.000016,40
audio1d,Activation_ReLU3,HE,16,0.298533,0.305683,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000050,0.000052,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000028,0.000008,0.000001,40
audio1d,Conv2D_16_8_1_3,HE,16,7.838695,35.856912,0.048798,40
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000002,0.000005,40
audio1d,Activation_ReLU3,HE,16,0.308003,0.311930,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000067,0.000068,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000037,0.000011,0.000001,40
audio1d,Flatten,HE,16,0.000001,0.000000,0.000000,40
audio1d,Flatten,Plain,-,0.000029,0.000020,0.000000,40
audio1d,Linear_2000_5,HE,16,5.857911,865.951928,0.283047,40
audio1d,Linear_2000_5,Plain,-,0.000062,0.000092,0.000019,40
audio1d,Activation_ReLU3,HE,16,0.342394,0.343814,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,40
bcwfc,Linear_64_32,HE,16,23.141588,70.034009,1.651356,40
bcwfc,Linear_64_32,Plain,-,0.000008,0.000014,0.000006,40
bcwfc,Activation_ReLU3,HE,16,0.322231,0.330029,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000012,0.000000,40
bcwfc,Linear_32_16,HE,16,11.104097,30.634173,0.764271,40
bcwfc,Linear_32_16,Plain,-,0.000004,0.000009,0.000002,40
bcwfc,Activation_ReLU3,HE,16,0.295959,0.308185,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
bcwfc,Linear_16_10,HE,16,5.935050,16.132624,0.496555,40
bcwfc,Linear_16_10,Plain,-,0.000003,0.000012,0.000001,40
bcwfc,Linear_64_32,HE,16,24.503998,71.207914,1.620469,40
bcwfc,Linear_64_32,Plain,-,0.000009,0.000016,0.000005,40
bcwfc,Activation_ReLU3,HE,16,0.317751,0.332898,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000002,0.000002,0.000000,40
bcwfc,Linear_32_16,HE,16,10.845294,29.857502,0.782470,40
bcwfc,Linear_32_16,Plain,-,0.000005,0.000007,0.000002,40
bcwfc,Activation_ReLU3,HE,16,0.297593,0.308905,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
bcwfc,Linear_16_10,HE,16,6.074655,17.127917,0.541325,40
bcwfc,Linear_16_10,Plain,-,0.000004,0.000009,0.000001,40
mnistfc,Linear_784_128,HE,16,132.066609,856.020307,6.363987,40
mnistfc,Linear_784_128,Plain,-,0.000182,0.000444,0.000601,40
mnistfc,Activation_ReLU3,HE,16,0.293448,0.302256,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000009,0.000002,0.000000,40
mnistfc,Linear_128_32,HE,16,25.652115,111.457280,1.551470,40
mnistfc,Linear_128_32,Plain,-,0.000012,0.000024,0.000008,40
mnistfc,Activation_ReLU3,HE,16,0.297811,0.302270,0.000001,40
