model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
lenet,Conv2D_1_6_5_5,HE,13,2.201607,2.413563,0.006000,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000476,0.001209,0.000002,40
lenet,Activation_ReLU3,HE,13,0.039546,0.039561,0.000008,40
lenet,Activation_ReLU3,Plain,-,0.000051,0.000029,0.000001,40
lenet,Conv2D_6_16_5_5,HE,13,4.150107,14.237606,0.006163,40
lenet,Conv2D_6_16_5_5,Plain,-,0.004734,0.014598,0.000007,40
lenet,Activation_ReLU3,HE,13,0.038842,0.040072,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000072,0.000083,0.000000,40
lenet,Linear_256_120,HE,13,15.244347,51.505498,0.758254,40
lenet,Linear_256_120,Plain,-,0.000067,0.000239,0.000203,40
lenet,Activation_ReLU3,HE,13,0.039349,0.042435,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000002,0.000006,0.000000,40
lenet,Linear_120_84,HE,13,9.656037,48.800312,0.594982,40
lenet,Linear_120_84,Plain,-,0.000025,0.000089,0.000069,40
lenet,Activation_ReLU3,HE,13,0.039847,0.040473,0.000006,40
lenet,Activation_ReLU3,Plain,-,0.000003,0.000028,0.000000,40
lenet,Linear_84_10,HE,13,1.146320,7.791244,0.075557,40
lenet,Linear_84_10,Plain,-,0.000005,0.000018,0.000003,40
lenet,Conv2D_1_6_5_5,HE,13,2.288277,2.624613,0.006093,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000446,0.001181,0.000001,40
lenet,Activation_ReLU3,HE,13,0.042178,0.043249,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000042,0.000039,0.000000,40
lenet,Conv2D_6_16_5_5,HE,13,4.296976,25.417632,0.009182,40
lenet,Conv2D_6_16_5_5,Plain,-,0.007792,0.015621,0.000007,40
lenet,Activation_ReLU3,HE,13,0.041791,0.041109,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000082,0.000056,0.000000,40
lenet,Linear_256_120,HE,13,34.311568,74.471226,0.824025,40
lenet,Linear_256_120,Plain,-,0.000068,0.000253,0.000204,40
lenet,Activation_ReLU3,HE,13,0.039445,0.040545,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000004,0.000003,0.000000,40
lenet,Linear_120_84,HE,13,8.945780,36.303662,0.508697,40
lenet,Linear_120_84,Plain,-,0.000026,0.000099,0.000075,40
lenet,Activation_ReLU3,HE,13,0.047228,0.056800,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000011,0.000002,0.000000,40
lenet,Linear_84_10,HE,13,1.087702,7.125522,0.060358,40
lenet,Linear_84_10,Plain,-,0.000006,0.000011,0.000002,40
audio1d,Conv2D_12_16_1_3,HE,13,0.903770,3.387660,0.006098,40
audio1d,Conv2D_12_16_1_3,Plain,-,0.000003,0.000001,0.000005,40
audio1d,Activation_ReLU3,HE,13,0.039173,0.040159,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000120,0.000126,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000052,0.000026,0.000001,40
audio1d,Conv2D_16_8_1_3,HE,13,1.029464,4.347013,0.005675,40
audio1d,Conv2D_16_8_1_3,Plain,-,0.000005,0.000002,0.000004,40
audio1d,Activation_ReLU3,HE,13,0.036680,0.038116,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000077,0.000073,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000040,0.000011,0.000000,40
audio1d,Flatten,HE,13,0.000002,0.000001,0.000000,40
audio1d,Flatten,Plain,-,0.000031,0.000021,0.000000,40
audio1d,Linear_2000_5,HE,13,0.679909,129.051371,0.031717,40
audio1d,Linear_2000_5,Plain,-,0.000053,0.000058,0.000020,40
audio1d,Activation_ReLU3,HE,13,0.037236,0.038279,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
audio1d,Conv2D_12_16_1_3,HE,13,0.848376,3.235494,0.005509,40
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000002,0.000010,40
audio1d,Activation_ReLU3,HE,13,0.036863,0.037802,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000054,0.000055,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000031,0.000009,0.000000,40
audio1d,Conv2D_16_8_1_3,HE,13,0.972362,4.262469,0.005450,40
audio1d,Conv2D_16_8_1_3,Plain,-,0.000002,0.000001,0.000008,40
audio1d,Activation_ReLU3,HE,13,0.037302,0.037650,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000071,0.000072,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000040,0.000011,0.000001,40
audio1d,Flatten,HE,13,0.000001,0.000000,0.000000,40
audio1d,Flatten,Plain,-,0.000031,0.000021,0.000000,40
audio1d,Linear_2000_5,HE,13,0.698926,117.308591,0.035076,40
audio1d,Linear_2000_5,Plain,-,0.000051,0.000092,0.000020,40
audio1d,Activation_ReLU3,HE,13,0.041988,0.043158,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000001,0.000001,0.000000,40
bcwfc,Linear_64_32,HE,13,3.025309,9.018904,0.189909,40
bcwfc,Linear_64_32,Plain,-,0.000008,0.000022,0.000006,40
bcwfc,Activation_ReLU3,HE,13,0.038915,0.040084,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000008,0.000002,0.000000,40
bcwfc,Linear_32_16,HE,13,1.367934,3.923443,0.095267,40
bcwfc,Linear_32_16,Plain,-,0.000004,0.000009,0.000002,40
bcwfc,Activation_ReLU3,HE,13,0.038928,0.040087,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,40
bcwfc,Linear_16_10,HE,13,0.773558,2.092758,0.062741,40
bcwfc,Linear_16_10,Plain,-,0.000004,0.000014,0.000001,40
bcwfc,Linear_64_32,HE,13,3.133272,47.207419,0.183128,40
bcwfc,Linear_64_32,Plain,-,0.000013,0.000022,0.000006,40
bcwfc,Activation_ReLU3,HE,13,0.036533,0.037794,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000005,0.000001,0.000000,40
bcwfc,Linear_32_16,HE,13,1.355097,3.738397,0.091639,40
bcwfc,Linear_32_16,Plain,-,0.000004,0.000007,0.000002,40
bcwfc,Activation_ReLU3,HE,13,0.036423,0.037726,0.000001,40
bcwfc,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,40
bcwfc,Linear_16_10,HE,13,0.755173,2.017130,0.057710,40
bcwfc,Linear_16_10,Plain,-,0.000004,0.000009,0.000001,40
mnistfc,Linear_784_128,HE,13,16.087243,103.706507,0.797696,40
mnistfc,Linear_784_128,Plain,-,0.000202,0.000775,0.000675,40
mnistfc,Activation_ReLU3,HE,13,0.039184,0.040192,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000000,40
mnistfc,Linear_128_32,HE,13,3.325455,14.640243,0.190761,40
mnistfc,Linear_128_32,Plain,-,0.000014,0.000036,0.000009,40
mnistfc,Activation_ReLU3,HE,13,0.038995,0.040320,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000002,0.000001,0.000001,40
mnistfc,Linear_32_10,HE,13,15.760110,3.386192,0.060453,40
mnistfc,Linear_32_10,Plain,-,0.000004,0.000006,0.000001,40
mnistfc,Linear_784_128,HE,13,16.590082,103.385823,0.744012,40
mnistfc,Linear_784_128,Plain,-,0.000200,0.000491,0.000683,40
mnistfc,Activation_ReLU3,HE,13,0.036297,0.037799,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000006,0.000005,0.000000,40
mnistfc,Linear_128_32,HE,13,3.179252,13.677902,0.181403,40
mnistfc,Linear_128_32,Plain,-,0.000032,0.000025,0.000009,40
mnistfc,Activation_ReLU3,HE,13,0.035644,0.036901,0.000001,40
mnistfc,Activation_ReLU3,Plain,-,0.000009,0.000001,0.000000,40
mnistfc,Linear_32_10,HE,13,0.807478,3.188354,0.056502,40
mnistfc,Linear_32_10,Plain,-,0.000003,0.000009,0.000001,40
