model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
resnet,Conv2D_3_64_7_7,HE,13,6.952306,48.321500,0.008587,40
resnet,Conv2D_3_64_7_7,Plain,-,2.247083,6.813654,0.000083,40
resnet,Activation_ReLU3,HE,13,0.040298,0.041294,0.000004,40
resnet,Activation_ReLU3,Plain,-,0.033423,0.034723,0.000009,40
resnet,Conv2D_64_64_3_3,HE,13,82.982333,512.934312,0.017654,40
resnet,Conv2D_64_64_3_3,Plain,-,9.686717,22.428183,0.000194,40
resnet,Activation_ReLU3,HE,13,0.035562,0.036354,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.035097,0.022307,0.000002,40
resnet,Conv2D_64_64_3_3,HE,13,71.429135,459.369214,0.017195,40
resnet,Conv2D_64_64_3_3,Plain,-,11.051177,20.951850,0.000072,40
resnet,Activation_ReLU3,HE,13,0.040549,0.041631,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.021310,0.016049,0.000001,40
resnet,Conv2D_3_64_7_7,HE,13,5.604229,41.572265,0.007047,40
resnet,Conv2D_3_64_7_7,Plain,-,1.945653,5.161074,0.000020,40
resnet,Activation_ReLU3,HE,13,0.033461,0.033453,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014699,0.013672,0.000001,40
resnet,Conv2D_64_64_3_3,HE,13,65.242808,454.364916,0.016567,40
resnet,Conv2D_64_64_3_3,Plain,-,8.874958,23.545863,0.000086,40
resnet,Activation_ReLU3,HE,13,0.033291,0.034808,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.035886,0.035580,0.000001,40
resnet,Conv2D_64_64_3_3,HE,13,69.543511,459.879888,0.015280,40
resnet,Conv2D_64_64_3_3,Plain,-,8.700843,21.941965,0.000083,40
resnet,Activation_ReLU3,HE,13,0.032346,0.033567,0.000001,40
resnet,Activation_ReLU3,Plain,-,0.014613,0.013470,0.000001,40
